               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.017809,            0.014239,           0.0017496,              0.9969,             0.99667,             0.99441,             0.78528,            0.017194,            0.011091,           0.0010408,           0.0095446,           0.0095446,           0.0095446
                  94,            0.017842,             0.01388,           0.0017166,             0.99752,             0.99669,             0.99492,             0.78955,            0.017224,            0.011065,          0.00091156,           0.0095397,           0.0095397,           0.0095397
                  95,            0.017753,            0.013999,           0.0017043,             0.99713,             0.99779,             0.99498,             0.79025,            0.016903,            0.011041,          0.00096594,           0.0095347,           0.0095347,           0.0095347
                  96,            0.018394,            0.013872,           0.0016393,             0.99887,             0.99494,              0.9948,             0.78505,             0.01735,            0.011273,          0.00098233,           0.0095298,           0.0095298,           0.0095298
                  97,            0.019004,            0.014279,           0.0018161,             0.99796,             0.99335,             0.99499,             0.78771,            0.017275,            0.011137,           0.0011225,           0.0095248,           0.0095248,           0.0095248
                  98,            0.018372,            0.014115,           0.0017542,             0.99769,             0.99499,             0.99496,             0.79178,            0.017184,            0.011126,           0.0010764,           0.0095198,           0.0095198,           0.0095198
                  99,            0.018789,            0.014642,           0.0017413,             0.99865,             0.99654,             0.99493,             0.78465,            0.017268,            0.011055,          0.00092087,           0.0095149,           0.0095149,           0.0095149
                 100,            0.018408,            0.014471,           0.0016267,             0.99751,               0.994,             0.99499,             0.78555,             0.01709,            0.011157,          0.00094128,             0.00951,             0.00951,             0.00951
                 101,            0.019093,            0.014392,           0.0015937,             0.99745,             0.99452,             0.99499,             0.78776,            0.017136,            0.011253,          0.00097107,            0.009505,            0.009505,            0.009505
                 102,            0.019082,             0.01495,           0.0016761,             0.99708,             0.99779,             0.99494,             0.78612,            0.017063,            0.011102,          0.00089225,              0.0095,              0.0095,              0.0095
